(('charizard', 'ninetales'), ('move', 'flareblitz')): -0.8606142292942363
(('charizard', 'golem'), ('move', 'flareblitz')): -2.273714743653819
(('charizard', 'golem'), ('switch', 'pikachu')): -0.37561676343247863
(('pikachu', 'golem'), ('move', 'volttackle')): -1.4056532259195373
(('pikachu', 'golem'), ('switch', 'snorlax')): -0.984760756606403
(('snorlax', 'golem'), ('move', 'shadowball')): -1.8333831605201194
(('snorlax', 'golem'), ('switch', 'lapras')): -2.1150127979429127
(('lapras', 'golem'), ('move', 'blizzard')): -3.6588660943442814
(('lapras', 'arbok'), ('move', 'psychic')): -2.0702140549448873
(('lapras', 'ninetales'), ('move', 'blizzard')): -1.4618998137888286
(('lapras', 'pidgeot'), ('move', 'blizzard')): -1.0545049762573395
(('lapras', 'pidgeot'), ('switch', 'blastoise')): -1.7098281586705169
(('blastoise', 'pidgeot'), ('move', 'focusblast')): -0.0029496450458211254
(('venusaur', 'pidgeot'), ('switch', 'lapras')): -0.03573000376980118
(('lapras', 'pidgeot'), ('switch', 'venusaur')): -0.8380268502395809
(('venusaur', 'machamp'), ('move', 'sludgebomb')): -0.3191408604730286
(('venusaur', 'machamp'), ('switch', 'snorlax')): -0.08401460066804212
(('snorlax', 'machamp'), ('move', 'shadowball')): -3.500256926332664
(('snorlax', 'arcanine'), ('move', 'shadowball')): -3.2330175218196193
(('snorlax', 'poliwrath'), ('move', 'shadowball')): -2.4944235572307387
(('snorlax', 'pidgeot'), ('move', 'shadowball')): -2.6673205486132248
(('snorlax', 'poliwrath'), ('move', 'crunch')): -2.4211934120200835
(('snorlax', 'poliwrath'), ('move', 'blizzard')): -2.317126128983001
(('snorlax', 'arcanine'), ('move', 'crunch')): -3.81466057251938
(('snorlax', 'nidoking'), ('move', 'shadowball')): -4.410333770052264
(('snorlax', 'arcanine'), ('move', 'blizzard')): -4.218974822563165
(('snorlax', 'poliwrath'), ('move', 'gigaimpact')): -2.8229991818272087
(('snorlax', 'pidgeot'), ('move', 'recharge')): -1.2116175777340243
(('snorlax', 'pidgeot'), ('switch', 'pikachu')): -1.1951821574043744
(('pikachu', 'poliwrath'), ('move', 'volttackle')): 0.21661411405973385
(('pikachu', 'poliwrath'), ('switch', 'blastoise')): 2.3715779502605
(('blastoise', 'arbok'), ('move', 'focusblast')): 0.6111414613000036
(('blastoise', 'nidoking'), ('move', 'focusblast')): -1.201516189943218
(('blastoise', 'arcanine'), ('move', 'focusblast')): -2.0316079078534908
(('blastoise', 'arbok'), ('move', 'hydrocannon')): -0.67893064584834
(('blastoise', 'arbok'), ('move', 'recharge')): -1.746037618542384
(('blastoise', 'poliwrath'), ('move', 'recharge')): 0.6366018608648847
(('blastoise', 'poliwrath'), ('move', 'focusblast')): -0.17013374447913454
(('blastoise', 'poliwrath'), ('switch', 'snorlax')): -0.2747157318487369
(('snorlax', 'poliwrath'), ('switch', 'lapras')): -2.064624217597117
(('lapras', 'poliwrath'), ('move', 'blizzard')): -0.6837081244775034
(('blastoise', 'pidgeot'), ('move', 'hydrocannon')): -1.2277311862683857
(('blastoise', 'pidgeot'), ('move', 'recharge')): -0.04862381468402364
(('blastoise', 'pidgeot'), ('switch', 'snorlax')): 0.6967016659345961
(('snorlax', 'pidgeot'), ('switch', 'lapras')): -2.7422262773009605
(('blastoise', 'machamp'), ('move', 'focusblast')): -0.7070962878763243
(('blastoise', 'nidoqueen'), ('move', 'focusblast')): -1.0306884891313985
(('blastoise', 'nidoqueen'), ('switch', 'lapras')): -0.09377752903069629
(('lapras', 'nidoqueen'), ('move', 'brine')): -1.3203873345338888
(('lapras', 'golbat'), ('move', 'blizzard')): -1.937009515419518
(('blastoise', 'golbat'), ('move', 'focusblast')): -0.8559245280912438
(('blastoise', 'machamp'), ('move', 'recharge')): 0.11266804911011777
(('blastoise', 'sandslash'), ('switch', 'lapras')): 2.3855464694116377
(('lapras', 'sandslash'), ('move', 'blizzard')): -0.14098869667136543
(('lapras', 'machamp'), ('move', 'blizzard')): -2.333601353571612
(('lapras', 'machamp'), ('move', 'brine')): -2.2333362507962553
(('lapras', 'pidgeot'), ('move', 'bodyslam')): -0.6846322711316922
(('lapras', 'nidoking'), ('move', 'blizzard')): -3.1116889792353977
(('lapras', 'sandslash'), ('switch', 'venusaur')): -0.44697250614903705
