(('pikachu', 'golbat'), ('move', 'quickattack')): -53.4075760083146
(('pikachu', 'golbat'), ('move', 'volttackle')): -57.17942448953774
(('pikachu', 'golbat'), ('switch', 'blastoise')): -52.15730318167704
(('blastoise', 'machamp'), ('move', 'focusblast')): -51.78328171947118
(('blastoise', 'machamp'), ('move', 'hydrocannon')): -54.08549324030692
(('blastoise', 'nidoqueen'), ('move', 'recharge')): -24.526717398523715
(('blastoise', 'nidoqueen'), ('switch', 'lapras')): -28.056057804742025
(('lapras', 'nidoqueen'), ('move', 'blizzard')): -31.322529573939995
(('lapras', 'alakazam'), ('move', 'blizzard')): -56.22936167306277
(('lapras', 'alakazam'), ('move', 'brine')): -59.7199612991704
(('lapras', 'poliwrath'), ('move', 'blizzard')): -63.720682359224874
(('lapras', 'poliwrath'), ('switch', 'snorlax')): -59.743464080561175
(('snorlax', 'poliwrath'), ('move', 'shadowball')): -64.06265359487472
(('snorlax', 'poliwrath'), ('switch', 'lapras')): -51.423820611949665
(('lapras', 'poliwrath'), ('move', 'brine')): -63.42533468116929
(('lapras', 'poliwrath'), ('switch', 'blastoise')): -57.840862924181465
(('blastoise', 'poliwrath'), ('move', 'focusblast')): -56.23243123287591
(('blastoise', 'poliwrath'), ('move', 'blizzard')): -58.92480179272444
(('blastoise', 'poliwrath'), ('switch', 'venusaur')): -15.293994447372675
(('venusaur', 'poliwrath'), ('move', 'sludgebomb')): -34.54073021879674
(('venusaur', 'pidgeot'), ('switch', 'charizard')): -41.90765162309739
(('charizard', 'pidgeot'), ('move', 'flareblitz')): -42.5149437670842
(('pikachu', 'arcanine'), ('switch', 'charizard')): -44.61111631452298
(('charizard', 'arcanine'), ('move', 'flareblitz')): -64.4155907921208
(('charizard', 'arcanine'), ('switch', 'snorlax')): -49.13526628680775
(('snorlax', 'arbok'), ('move', 'shadowball')): -84.12825914932989
(('snorlax', 'arbok'), ('switch', 'venusaur')): -68.89252172627164
(('venusaur', 'arbok'), ('move', 'sludgebomb')): -85.50486499706007
(('venusaur', 'arbok'), ('move', 'gigadrain')): -72.02974337003869
(('venusaur', 'arbok'), ('switch', 'pikachu')): -75.63057560418282
(('pikachu', 'arbok'), ('move', 'volttackle')): -40.62698657395914
(('pikachu', 'alakazam'), ('move', 'volttackle')): -38.835179514606274
(('pikachu', 'alakazam'), ('switch', 'blastoise')): -39.263782332248965
(('blastoise', 'alakazam'), ('move', 'focusblast')): -58.48477694120064
(('blastoise', 'alakazam'), ('move', 'hydrocannon')): -55.27322273942064
(('blastoise', 'alakazam'), ('switch', 'lapras')): -45.16073465304229
(('pikachu', 'golem'), ('move', 'volttackle')): -29.375247332018013
(('pikachu', 'golem'), ('switch', 'blastoise')): -29.76490602915714
(('blastoise', 'machamp'), ('switch', 'lapras')): -53.23577074750853
(('lapras', 'machamp'), ('move', 'blizzard')): -49.83859032749174
(('lapras', 'machamp'), ('switch', 'venusaur')): -51.205622407592145
(('venusaur', 'machamp'), ('move', 'sludgebomb')): -56.66551720601628
(('venusaur', 'arbok'), ('move', 'sleeppowder')): -80.85832441787447
(('venusaur', 'arbok'), ('move', 'frenzyplant')): -78.20201367776194
(('venusaur', 'arbok'), ('move', 'recharge')): -72.75101897689558
(('venusaur', 'arbok'), ('switch', 'blastoise')): -74.40764393268871
(('blastoise', 'arbok'), ('move', 'focusblast')): -79.87151743755997
(('blastoise', 'arbok'), ('switch', 'snorlax')): -76.70069592554154
(('snorlax', 'arbok'), ('move', 'crunch')): -83.61720283767136
(('snorlax', 'sandslash'), ('move', 'shadowball')): -39.06746156580712
(('snorlax', 'sandslash'), ('switch', 'charizard')): -23.500265644573084
(('charizard', 'sandslash'), ('move', 'flareblitz')): -38.92882743463024
(('lapras', 'arcanine'), ('move', 'blizzard')): -78.09969439001277
(('lapras', 'arcanine'), ('switch', 'pikachu')): -67.54327604192288
(('pikachu', 'arcanine'), ('move', 'volttackle')): -54.757617258535255
(('pikachu', 'arcanine'), ('switch', 'snorlax')): -46.81587066051645
(('snorlax', 'arcanine'), ('move', 'shadowball')): -78.62789378827644
(('snorlax', 'nidoking'), ('move', 'shadowball')): -52.81828095693291
(('snorlax', 'nidoking'), ('switch', 'charizard')): -45.07235909376717
(('charizard', 'nidoking'), ('move', 'flareblitz')): -45.96508777712047
(('charizard', 'machamp'), ('move', 'flareblitz')): -59.27946875245363
(('charizard', 'machamp'), ('switch', 'venusaur')): -46.74839130217241
(('venusaur', 'machamp'), ('move', 'gigadrain')): -54.126633667487596
(('venusaur', 'ninetales'), ('move', 'sludgebomb')): -30.64501070007752
(('venusaur', 'nidoqueen'), ('move', 'sludgebomb')): -40.3284908617342
(('venusaur', 'nidoqueen'), ('move', 'gigadrain')): -35.824547197018376
(('venusaur', 'nidoqueen'), ('switch', 'blastoise')): -27.949037676773532
(('blastoise', 'nidoqueen'), ('move', 'hydrocannon')): -30.712368790707313
(('blastoise', 'nidoqueen'), ('move', 'focusblast')): -31.544824238696506
(('blastoise', 'nidoqueen'), ('move', 'flashcannon')): -30.8306005786148
(('blastoise', 'sandslash'), ('move', 'focusblast')): -27.602445358954398
(('blastoise', 'sandslash'), ('switch', 'lapras')): -26.118018534340948
(('lapras', 'sandslash'), ('move', 'blizzard')): -38.35158165800725
(('lapras', 'pidgeot'), ('move', 'blizzard')): -46.433037428033316
(('snorlax', 'poliwrath'), ('move', 'crunch')): -59.32262451813423
(('snorlax', 'poliwrath'), ('switch', 'venusaur')): -12.21282951102967
(('venusaur', 'poliwrath'), ('switch', 'pikachu')): -32.65054688747342
(('pikachu', 'poliwrath'), ('switch', 'charizard')): -39.96720424446073
(('charizard', 'poliwrath'), ('move', 'flareblitz')): -53.97745622626836
(('charizard', 'ninetales'), ('move', 'flareblitz')): -42.396475015608516
(('charizard', 'nidoking'), ('move', 'airslash')): -42.81617197554896
(('charizard', 'nidoking'), ('switch', 'lapras')): -39.53550409046241
(('lapras', 'nidoking'), ('move', 'blizzard')): -43.16985074520621
(('lapras', 'nidoking'), ('switch', 'venusaur')): -34.56597673933444
(('venusaur', 'nidoking'), ('move', 'sludgebomb')): -43.25630055033808
(('venusaur', 'nidoking'), ('move', 'gigadrain')): -40.47279881041031
(('venusaur', 'alakazam'), ('move', 'sludgebomb')): -43.68021483179561
(('charizard', 'pidgeot'), ('switch', 'pikachu')): -40.647671254085665
(('pikachu', 'poliwrath'), ('move', 'volttackle')): -42.85231512411872
(('pikachu', 'sandslash'), ('move', 'volttackle')): -28.487425788175454
(('pikachu', 'sandslash'), ('switch', 'blastoise')): -18.308620354534433
(('lapras', 'sandslash'), ('move', 'brine')): -35.36950432403615
(('lapras', 'golbat'), ('move', 'blizzard')): -72.16075124644777
(('lapras', 'golbat'), ('switch', 'venusaur')): -65.74143389210974
