(('charizard', 'poliwrath'), ('switch', 'lapras')): -32.66753326239895
(('lapras', 'poliwrath'), ('move', 'blizzard')): -36.703088569089864
(('lapras', 'golem'), ('move', 'blizzard')): -33.10553746153937
(('lapras', 'pidgeot'), ('move', 'blizzard')): -29.807013755405197
(('lapras', 'poliwrath'), ('move', 'bodyslam')): -40.671781100871954
(('lapras', 'nidoking'), ('move', 'brine')): -35.05395108834883
(('lapras', 'nidoking'), ('switch', 'venusaur')): -32.85653933218709
(('venusaur', 'nidoking'), ('move', 'sludgebomb')): -33.04682314541401
(('venusaur', 'nidoking'), ('switch', 'pikachu')): -39.63537853229036
(('pikachu', 'nidoking'), ('move', 'volttackle')): -39.09776076991346
(('pikachu', 'nidoking'), ('switch', 'blastoise')): -27.898267500332057
(('blastoise', 'nidoking'), ('move', 'focusblast')): -34.01726511119667
(('blastoise', 'nidoking'), ('move', 'hydrocannon')): -34.827059658969134
(('blastoise', 'golbat'), ('move', 'recharge')): -27.3017438189395
(('blastoise', 'golbat'), ('switch', 'snorlax')): -32.84879749444123
(('snorlax', 'golbat'), ('move', 'shadowball')): -40.13028136264314
(('snorlax', 'golbat'), ('move', 'gigaimpact')): -30.698424168292043
(('snorlax', 'nidoking'), ('move', 'recharge')): -30.263282441146224
(('snorlax', 'nidoking'), ('move', 'shadowball')): -38.053944254166126
(('snorlax', 'nidoking'), ('switch', 'charizard')): -42.15064418490462
(('lapras', 'nidoqueen'), ('move', 'blizzard')): -29.750401175773547
(('lapras', 'alakazam'), ('switch', 'venusaur')): -31.508547174542695
(('venusaur', 'alakazam'), ('move', 'sleeppowder')): -36.969592240268675
(('venusaur', 'alakazam'), ('switch', 'blastoise')): -36.26679431374548
(('blastoise', 'alakazam'), ('move', 'focusblast')): -37.50738866447887
(('blastoise', 'alakazam'), ('move', 'hydrocannon')): -35.016365797759
(('blastoise', 'pidgeot'), ('move', 'recharge')): -30.88891852983834
(('blastoise', 'nidoqueen'), ('move', 'focusblast')): -29.834138431936292
(('blastoise', 'nidoking'), ('move', 'blizzard')): -29.412443778956916
(('blastoise', 'nidoking'), ('switch', 'snorlax')): -28.402598263714253
(('charizard', 'nidoking'), ('move', 'flareblitz')): -36.581668511764484
(('charizard', 'alakazam'), ('move', 'flareblitz')): -33.31522969623519
(('charizard', 'nidoqueen'), ('move', 'flareblitz')): -31.158673235196304
(('charizard', 'alakazam'), ('switch', 'snorlax')): -25.32682130945495
(('snorlax', 'machamp'), ('move', 'shadowball')): -36.209035095690524
(('snorlax', 'machamp'), ('move', 'crunch')): -31.0073785244895
(('snorlax', 'golbat'), ('switch', 'charizard')): -32.561954983375664
(('charizard', 'ninetales'), ('move', 'flareblitz')): -34.86029156123768
(('charizard', 'golem'), ('move', 'flareblitz')): -36.199767533799026
(('charizard', 'golem'), ('switch', 'venusaur')): -36.141152958883836
(('venusaur', 'poliwrath'), ('move', 'sludgebomb')): -26.507310860774446
(('venusaur', 'nidoqueen'), ('move', 'sludgebomb')): -32.146002790935256
(('venusaur', 'arbok'), ('move', 'sludgebomb')): -38.768304787247345
(('venusaur', 'arbok'), ('switch', 'snorlax')): -36.77722272487712
(('snorlax', 'arbok'), ('move', 'crunch')): -36.8725688480207
(('snorlax', 'poliwrath'), ('move', 'shadowball')): -33.85736159993538
(('snorlax', 'poliwrath'), ('switch', 'lapras')): -32.284830971754715
(('blastoise', 'pidgeot'), ('move', 'focusblast')): -29.637334953415827
(('blastoise', 'ninetales'), ('move', 'focusblast')): -35.334744370338804
(('blastoise', 'ninetales'), ('switch', 'pikachu')): -29.303363637078505
(('pikachu', 'ninetales'), ('move', 'volttackle')): -37.37960960498929
(('pikachu', 'alakazam'), ('move', 'volttackle')): -33.153268362996826
(('pikachu', 'sandslash'), ('move', 'volttackle')): -27.658803534697103
(('pikachu', 'sandslash'), ('switch', 'lapras')): -21.065045845287067
(('lapras', 'sandslash'), ('move', 'blizzard')): -31.595732331622916
(('lapras', 'machamp'), ('move', 'blizzard')): -28.95881897027798
(('lapras', 'alakazam'), ('move', 'blizzard')): -31.87016935765626
(('lapras', 'machamp'), ('move', 'brine')): -30.208507060462356
(('lapras', 'alakazam'), ('switch', 'charizard')): -28.96489643239218
(('snorlax', 'alakazam'), ('move', 'shadowball')): -32.687426760283046
(('snorlax', 'machamp'), ('switch', 'lapras')): -33.88535421182807
(('charizard', 'nidoking'), ('switch', 'blastoise')): -34.3554224696378
(('pikachu', 'ninetales'), ('move', 'irontail')): -33.351072479290615
(('pikachu', 'ninetales'), ('switch', 'lapras')): -33.39245263532749
(('lapras', 'ninetales'), ('move', 'blizzard')): -31.478204868343774
(('lapras', 'golem'), ('move', 'brine')): -25.24966122990763
(('lapras', 'pidgeot'), ('move', 'brine')): -29.61592311080975
(('venusaur', 'nidoking'), ('move', 'gigadrain')): -43.92084885164787
(('venusaur', 'sandslash'), ('move', 'sludgebomb')): -26.955520398637983
(('venusaur', 'nidoqueen'), ('move', 'gigadrain')): -27.95784462567855
(('venusaur', 'ninetales'), ('move', 'sludgebomb')): -37.42027504089261
(('venusaur', 'nidoqueen'), ('move', 'sleeppowder')): -30.01060166778526
(('venusaur', 'nidoqueen'), ('move', 'frenzyplant')): -31.522428374813106
(('venusaur', 'nidoking'), ('move', 'recharge')): -42.927970379643924
(('venusaur', 'nidoking'), ('switch', 'snorlax')): -25.48424883127979
(('charizard', 'nidoqueen'), ('move', 'airslash')): -33.485447347832384
(('snorlax', 'nidoking'), ('move', 'crunch')): -36.29136639430408
(('blastoise', 'arbok'), ('move', 'focusblast')): -40.90595603794533
(('blastoise', 'arbok'), ('move', 'hydrocannon')): -39.790194444728904
(('blastoise', 'golem'), ('move', 'recharge')): -43.458136001616126
(('blastoise', 'golem'), ('switch', 'lapras')): -31.093442898319612
(('lapras', 'arbok'), ('move', 'blizzard')): -29.242974869776447
(('snorlax', 'alakazam'), ('move', 'crunch')): -38.685789123697546
(('snorlax', 'golem'), ('move', 'shadowball')): -39.03984300871921
(('snorlax', 'pidgeot'), ('move', 'shadowball')): -31.276345983891353
(('snorlax', 'pidgeot'), ('move', 'crunch')): -32.644834654334886
(('lapras', 'golem'), ('move', 'psychic')): -34.34263209625767
(('lapras', 'machamp'), ('move', 'psychic')): -24.773303586852574
(('lapras', 'machamp'), ('switch', 'charizard')): -28.223237216945908
(('charizard', 'machamp'), ('move', 'flareblitz')): -29.78855588733682
(('charizard', 'pidgeot'), ('move', 'flareblitz')): -33.30598652359027
(('blastoise', 'alakazam'), ('switch', 'charizard')): -27.993888584986376
(('charizard', 'nidoking'), ('move', 'airslash')): -35.430569319530186
(('charizard', 'sandslash'), ('move', 'flareblitz')): -30.918743269782773
(('snorlax', 'sandslash'), ('move', 'shadowball')): -37.667074580159216
(('snorlax', 'ninetales'), ('move', 'shadowball')): -27.956139769114092
(('snorlax', 'sandslash'), ('move', 'crunch')): -39.66331550708671
(('snorlax', 'ninetales'), ('switch', 'pikachu')): -35.58678573242097
(('lapras', 'ninetales'), ('switch', 'charizard')): -31.10665496288324
(('charizard', 'ninetales'), ('move', 'airslash')): -38.600332900280435
(('venusaur', 'golem'), ('move', 'sludgebomb')): -33.322129677381916
(('venusaur', 'golem'), ('move', 'sleeppowder')): -20.50414936194642
(('venusaur', 'ninetales'), ('move', 'gigadrain')): -45.908915427097924
(('venusaur', 'ninetales'), ('move', 'sleeppowder')): -35.343825958632856
(('venusaur', 'ninetales'), ('move', 'frenzyplant')): -39.8371120416248
(('venusaur', 'poliwrath'), ('move', 'recharge')): -23.775598119846293
(('venusaur', 'poliwrath'), ('move', 'gigadrain')): -26.875731623710735
(('venusaur', 'sandslash'), ('switch', 'blastoise')): -27.455816002054654
(('blastoise', 'sandslash'), ('move', 'focusblast')): -28.261537265594214
(('lapras', 'golem'), ('switch', 'blastoise')): -25.17007773078543
(('blastoise', 'poliwrath'), ('move', 'focusblast')): -26.205284834961972
(('blastoise', 'machamp'), ('move', 'focusblast')): -32.34507296564876
(('blastoise', 'poliwrath'), ('switch', 'snorlax')): -33.69484317163383
(('snorlax', 'poliwrath'), ('move', 'crunch')): -38.49271462392732
(('snorlax', 'ninetales'), ('move', 'crunch')): -35.15612687720798
(('pikachu', 'ninetales'), ('switch', 'charizard')): -31.717140916428082
(('charizard', 'ninetales'), ('move', 'blastburn')): -30.898767723426687
(('charizard', 'sandslash'), ('move', 'recharge')): -29.277593397214517
(('charizard', 'poliwrath'), ('move', 'flareblitz')): -31.314273315940376
(('charizard', 'sandslash'), ('move', 'airslash')): -29.76360033339339
(('charizard', 'pidgeot'), ('move', 'airslash')): -20.576681908775093
(('charizard', 'machamp'), ('move', 'airslash')): -31.989037229858056
(('charizard', 'ninetales'), ('move', 'dragonpulse')): -37.7730937121985
(('charizard', 'poliwrath'), ('move', 'airslash')): -27.113854655319624
(('charizard', 'ninetales'), ('switch', 'pikachu')): -40.3774745206349
(('pikachu', 'poliwrath'), ('move', 'volttackle')): -26.830347979198393
(('venusaur', 'nidoqueen'), ('switch', 'blastoise')): -35.99095466566895
(('blastoise', 'arcanine'), ('move', 'focusblast')): -43.370344043473494
(('blastoise', 'golem'), ('move', 'focusblast')): -34.25419086435763
(('blastoise', 'nidoqueen'), ('switch', 'venusaur')): -25.995761762660486
(('venusaur', 'nidoqueen'), ('switch', 'pikachu')): -31.548459251900574
(('pikachu', 'arcanine'), ('move', 'volttackle')): -47.965714185541394
(('pikachu', 'nidoqueen'), ('move', 'volttackle')): -32.10652304283333
(('pikachu', 'nidoqueen'), ('switch', 'venusaur')): -27.43516133047065
(('snorlax', 'golbat'), ('move', 'crunch')): -37.189824905787496
(('snorlax', 'golbat'), ('switch', 'lapras')): -34.43574964309216
(('lapras', 'golbat'), ('move', 'blizzard')): -31.589228412993656
(('snorlax', 'ninetales'), ('move', 'blizzard')): -33.84404449184324
(('snorlax', 'nidoking'), ('move', 'blizzard')): -38.24259367864586
(('snorlax', 'nidoqueen'), ('move', 'shadowball')): -39.69270345462908
(('snorlax', 'arcanine'), ('move', 'shadowball')): -52.31259602110268
(('snorlax', 'ninetales'), ('switch', 'lapras')): -33.72522759569382
(('pikachu', 'ninetales'), ('move', 'quickattack')): -39.0187693590976
(('charizard', 'arcanine'), ('move', 'dragonpulse')): -46.86710369886261
(('charizard', 'pidgeot'), ('move', 'blastburn')): -30.378183327756542
(('charizard', 'ninetales'), ('move', 'recharge')): -28.14200121249349
(('charizard', 'ninetales'), ('switch', 'venusaur')): -34.04175456960912
(('venusaur', 'ninetales'), ('switch', 'pikachu')): -34.22257269183089
(('charizard', 'ninetales'), ('switch', 'snorlax')): -31.934735694453934
(('snorlax', 'arcanine'), ('move', 'crunch')): -49.453068396315494
(('snorlax', 'arcanine'), ('switch', 'venusaur')): -42.91290172482757
(('venusaur', 'arcanine'), ('move', 'sludgebomb')): -50.073731808611434
(('venusaur', 'arcanine'), ('move', 'gigadrain')): -45.374244565794136
(('charizard', 'ninetales'), ('switch', 'blastoise')): -24.018187766318228
(('blastoise', 'ninetales'), ('move', 'hydrocannon')): -23.26869832320415
(('blastoise', 'ninetales'), ('move', 'recharge')): -32.16099873747515
(('blastoise', 'machamp'), ('move', 'hydrocannon')): -31.723080382512066
(('blastoise', 'machamp'), ('move', 'recharge')): -32.604149415064306
(('blastoise', 'machamp'), ('switch', 'venusaur')): -25.683761926511814
