(('blastoise', 'sandslash'), ('move', 'focusblast')): -56.86551931111434
(('blastoise', 'sandslash'), ('switch', 'lapras')): -43.84042659035619
(('lapras', 'sandslash'), ('move', 'psychic')): -60.844842563131685
(('lapras', 'nidoking'), ('switch', 'charizard')): -70.11585136401939
(('charizard', 'nidoking'), ('move', 'flareblitz')): -59.92578866958678
(('charizard', 'nidoking'), ('switch', 'snorlax')): -54.02644018503408
(('snorlax', 'nidoking'), ('move', 'shadowball')): -62.761579777142344
(('snorlax', 'ninetales'), ('move', 'shadowball')): -60.415086327664326
(('snorlax', 'poliwrath'), ('move', 'shadowball')): -71.69480643098115
(('snorlax', 'poliwrath'), ('switch', 'venusaur')): -24.912057764152404
(('venusaur', 'poliwrath'), ('move', 'sludgebomb')): -39.061131444376706
(('venusaur', 'arbok'), ('move', 'sludgebomb')): -91.92778064181627
(('venusaur', 'arbok'), ('move', 'gigadrain')): -91.58966752715301
(('venusaur', 'arcanine'), ('move', 'sludgebomb')): -94.25207594537942
(('venusaur', 'arcanine'), ('switch', 'pikachu')): -78.22347893427704
(('pikachu', 'arcanine'), ('move', 'volttackle')): -84.36485546515863
(('pikachu', 'arcanine'), ('switch', 'lapras')): -65.63687079104137
(('lapras', 'arcanine'), ('move', 'blizzard')): -96.37606750741972
(('pikachu', 'pidgeot'), ('move', 'volttackle')): -67.40536069821285
(('pikachu', 'golbat'), ('move', 'volttackle')): -81.71722143185275
(('pikachu', 'golbat'), ('switch', 'charizard')): -74.31325042672216
(('charizard', 'golem'), ('move', 'flareblitz')): -70.10608782243155
(('charizard', 'golem'), ('switch', 'snorlax')): -65.68879587622162
(('snorlax', 'ninetales'), ('move', 'crunch')): -62.974368938549325
(('snorlax', 'arcanine'), ('move', 'shadowball')): -86.98826436513593
(('snorlax', 'arcanine'), ('switch', 'lapras')): -70.4762577433252
(('lapras', 'arcanine'), ('move', 'brine')): -79.84614390816928
(('lapras', 'sandslash'), ('move', 'blizzard')): -62.890679003170504
(('lapras', 'sandslash'), ('switch', 'blastoise')): -49.470225437628606
(('blastoise', 'sandslash'), ('move', 'blizzard')): -51.17885498715791
(('blastoise', 'sandslash'), ('move', 'hydrocannon')): -55.583397224963846
(('pikachu', 'golem'), ('switch', 'venusaur')): -57.0985026950574
(('venusaur', 'golem'), ('switch', 'lapras')): -64.88106629337216
(('lapras', 'arcanine'), ('move', 'psychic')): -97.4629439352262
(('lapras', 'arcanine'), ('switch', 'pikachu')): -89.24391200054683
(('pikachu', 'arcanine'), ('move', 'irontail')): -80.89163224594517
(('pikachu', 'arcanine'), ('switch', 'charizard')): -62.89609749294808
(('charizard', 'arcanine'), ('move', 'flareblitz')): -78.50854457605058
(('charizard', 'golbat'), ('move', 'flareblitz')): -69.13565225000386
(('charizard', 'golbat'), ('switch', 'snorlax')): -71.71869684929361
(('snorlax', 'nidoqueen'), ('move', 'shadowball')): -40.85114990717585
(('snorlax', 'nidoqueen'), ('move', 'crunch')): -50.062332628218655
(('snorlax', 'alakazam'), ('move', 'shadowball')): -76.58160934352114
(('snorlax', 'alakazam'), ('switch', 'blastoise')): -63.90338865687516
(('blastoise', 'alakazam'), ('move', 'focusblast')): -65.35313874694991
(('blastoise', 'alakazam'), ('move', 'hydrocannon')): -69.87914987951125
(('charizard', 'alakazam'), ('move', 'flareblitz')): -69.83483114972341
(('charizard', 'arbok'), ('move', 'flareblitz')): -83.09022681694628
(('charizard', 'poliwrath'), ('move', 'flareblitz')): -78.24758171909089
(('charizard', 'poliwrath'), ('switch', 'pikachu')): -63.54297483549022
(('pikachu', 'poliwrath'), ('move', 'volttackle')): -50.86640417952994
(('pikachu', 'pidgeot'), ('move', 'irontail')): -66.29120210049601
(('pikachu', 'pidgeot'), ('switch', 'venusaur')): -54.96547450333809
(('venusaur', 'pidgeot'), ('move', 'sludgebomb')): -58.46937788476177
(('venusaur', 'machamp'), ('move', 'sludgebomb')): -65.58819483499322
(('venusaur', 'machamp'), ('move', 'gigadrain')): -65.49114645612632
(('venusaur', 'nidoqueen'), ('move', 'sludgebomb')): -54.24401915738997
(('venusaur', 'nidoqueen'), ('switch', 'blastoise')): -40.974888874979804
(('blastoise', 'nidoqueen'), ('move', 'focusblast')): -41.879202324747645
(('blastoise', 'nidoqueen'), ('move', 'hydrocannon')): -40.960894603984684
(('lapras', 'arcanine'), ('move', 'bodyslam')): -96.18781694120723
(('lapras', 'arcanine'), ('switch', 'blastoise')): -76.51322098018052
(('blastoise', 'arcanine'), ('move', 'focusblast')): -85.16366446152466
(('blastoise', 'machamp'), ('move', 'focusblast')): -66.78483390386388
(('blastoise', 'machamp'), ('switch', 'charizard')): -53.264487290312516
(('charizard', 'machamp'), ('move', 'flareblitz')): -65.83523467692818
(('charizard', 'machamp'), ('switch', 'blastoise')): -59.512888598440526
(('blastoise', 'arbok'), ('move', 'focusblast')): -91.45290381860293
(('blastoise', 'arbok'), ('switch', 'venusaur')): -85.71992205366122
(('venusaur', 'arbok'), ('move', 'sleeppowder')): -90.21151081072951
(('venusaur', 'arbok'), ('move', 'frenzyplant')): -87.93303542570537
(('venusaur', 'arbok'), ('switch', 'snorlax')): -86.82096406431134
(('snorlax', 'arbok'), ('move', 'shadowball')): -91.61719181677053
(('snorlax', 'machamp'), ('move', 'shadowball')): -74.39185502132149
(('snorlax', 'machamp'), ('switch', 'pikachu')): -69.12072929062266
(('pikachu', 'machamp'), ('move', 'volttackle')): -64.21912975787768
(('blastoise', 'arcanine'), ('move', 'hydrocannon')): -76.67810680508894
(('blastoise', 'nidoking'), ('move', 'recharge')): -72.60524195027128
(('blastoise', 'nidoking'), ('switch', 'lapras')): -61.83382077672018
(('lapras', 'nidoking'), ('move', 'blizzard')): -66.2725428317514
(('lapras', 'nidoking'), ('switch', 'venusaur')): -42.553588399757096
(('venusaur', 'nidoking'), ('move', 'sludgebomb')): -55.01956393654927
(('venusaur', 'nidoking'), ('move', 'gigadrain')): -39.588823677523536
(('venusaur', 'pidgeot'), ('move', 'gigadrain')): -66.82573295730224
